"filename", "language", "Markdown", "C++", "Properties", "C", "JSON", "Shell Script", "YAML", "Ini", "Python", "comment", "blank", "total"
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_MULTI_OUTLET\AliGenie_MULTI_OUTLET.ino", "C++", 0, 73, 0, 0, 0, 0, 0, 0, 0, 44, 22, 139
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_OUTLET\AliGenie_OUTLET.ino", "C++", 0, 66, 0, 0, 0, 0, 0, 0, 0, 44, 21, 131
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_SENSOR\AliGenie_SENSOR.ino", "C++", 0, 47, 0, 0, 0, 0, 0, 0, 0, 44, 14, 105
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_AIRCONDITION\DuerOS_AIRCONDITION.ino", "C++", 0, 142, 0, 0, 0, 0, 0, 0, 0, 62, 47, 251
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_FAN\DuerOS_FAN.ino", "C++", 0, 121, 0, 0, 0, 0, 0, 0, 0, 63, 41, 225
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_LIGHT\DuerOS_LIGHT.ino", "C++", 0, 209, 0, 0, 0, 0, 0, 0, 0, 60, 64, 333
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_MULTI_OUTLET\DuerOS_MULTI_OUTLET.ino", "C++", 0, 51, 0, 0, 0, 0, 0, 0, 0, 44, 20, 115
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_OUTLET\DuerOS_OUTLET.ino", "C++", 0, 91, 0, 0, 0, 0, 0, 0, 0, 47, 32, 170
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_SENSOR\DuerOS_SENSOR.ino", "C++", 0, 79, 0, 0, 0, 0, 0, 0, 0, 44, 14, 137
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_AIRCONDITION\MIOT_AIRCONDITION.ino", "C++", 0, 158, 0, 0, 0, 0, 0, 0, 0, 55, 43, 256
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_FAN\MIOT_FAN.ino", "C++", 0, 117, 0, 0, 0, 0, 0, 0, 0, 47, 36, 200
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_LIGHT\MIOT_LIGHT.ino", "C++", 0, 200, 0, 0, 0, 0, 0, 0, 0, 53, 56, 309
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_MULTI_OUTLET\MIOT_MULTI_OUTLET.ino", "C++", 0, 73, 0, 0, 0, 0, 0, 0, 0, 44, 22, 139
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_OUTLET\MIOT_OUTLET.ino", "C++", 0, 66, 0, 0, 0, 0, 0, 0, 0, 44, 21, 131
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_SENSOR\MIOT_SENSOR.ino", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 44, 14, 107
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Weathers\Blinker_Air\Air_WiFi\Air_WiFi.ino", "C++", 0, 33, 0, 0, 0, 0, 0, 0, 0, 44, 13, 90
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Weathers\Blinker_Weather\Weather_WiFi\Weather_WiFi.ino", "C++", 0, 39, 0, 0, 0, 0, 0, 0, 0, 44, 14, 97
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_WiFi_Config\Blinker_APCONFIG\APCONFIG_WiFi\APCONFIG_WiFi.ino", "C++", 0, 37, 0, 0, 0, 0, 0, 0, 0, 48, 14, 99
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_WiFi_Config\Blinker_APCONFIG_V2\Blinker_APCONFIG_V2.ino", "C++", 0, 37, 0, 0, 0, 0, 0, 0, 0, 48, 13, 98
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_WiFi_Config\Blinker_ESPTOUCH\ESPTOUCH_WiFi\ESPTOUCH_WiFi.ino", "C++", 0, 37, 0, 0, 0, 0, 0, 0, 0, 48, 14, 99
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_WiFi_Config\Blinker_Multi_WiFi\Multi_WiFi\Multi_WiFi.ino", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 0, 50, 15, 105
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_AUTO\AUTO_Pro\AUTO_Pro.ino", "C++", 0, 86, 0, 0, 0, 0, 0, 0, 0, 76, 28, 190
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_AUTO\AUTO_WiFi\AUTO_WiFi.ino", "C++", 0, 64, 0, 0, 0, 0, 0, 0, 0, 49, 22, 135
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Button\Button_BLE\Button_BLE.ino", "C++", 0, 72, 0, 0, 0, 0, 0, 0, 0, 49, 21, 142
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Button\Button_WiFi\Button_WiFi.ino", "C++", 0, 75, 0, 0, 0, 0, 0, 0, 0, 48, 22, 145
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Heartbeat\Heartbeat_BLE\Heartbeat_BLE.ino", "C++", 0, 44, 0, 0, 0, 0, 0, 0, 0, 44, 18, 106
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Heartbeat\Heartbeat_WiFi\Heartbeat_WiFi.ino", "C++", 0, 53, 0, 0, 0, 0, 0, 0, 0, 44, 21, 118
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Image\Image_WiFi\Image_WiFi.ino", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 0, 44, 15, 99
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Joystick\Joystick_BLE\Joystick_BLE.ino", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 44, 15, 89
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Joystick\Joystick_WiFi\Joystick_WiFi.ino", "C++", 0, 33, 0, 0, 0, 0, 0, 0, 0, 44, 16, 93
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Notify\Notify_BLE\Notify_BLE.ino", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 0, 44, 11, 79
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Notify\Notify_WiFi\Notify_WiFi.ino", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 0, 44, 13, 84
